Income,Census Tract
141094.00,269300
139828.00,269500
43077.00,269601
59844.00,269602
64063.00,269700
62581.00,269800
40488.00,269903
46817.00,269904
49817.00,269905
61267.00,269906
46958.00,269907
60029.00,270100
48304.00,270200
50361.00,270300
78490.00,271100
55774.00,271200
71932.00,271300
120117.00,271400
84505.00,271500
75013.00,271600
73495.00,271701
49233.00,271702
44651.00,271801
57121.00,271802
64770.00,271901
58611.00,271902
69830.00,272100
47404.00,272201
42038.00,272202
64861.00,272301
41158.00,272302
84135.00,273100
62857.00,273200
72212.00,273300
64975.00,273402
53861.00,273502
77131.00,273600
75583.00,273700
67386.00,273800
79594.00,273902
102888.00,274100
115972.00,274202
87581.00,275101
51654.00,275102
51629.00,275200
102824.00,275302
62734.00,275311
80655.00,275400
40859.00,275500
75221.00,275602
64663.00,275603
100909.00,276000
63633.00,276100
127991.00,276400
83520.00,276500
130962.00,276601
97475.00,276603
76821.00,276604
129185.00,277000
105476.00,277100
64265.00,277200
43844.00,277400
77500.00,278001
110845.00,278102
35233.00,291110
35357.00,291120
56324.00,291130
44222.00,291210
42222.00,291220
53773.00,291300
41627.00,292000
55257.00,293201
33654.00,293202
94070.00,293301
75435.00,293302
42126.00,293304
82045.00,293306
49866.00,293307
53882.00,294110
38906.00,294120
63277.00,294200
61136.00,294301
43070.00,294302
51343.00,294410
41008.00,294421
43308.00,294510
48884.00,294520
33450.00,294610
39250.00,294620
24871.00,294701
33977.00,294810
31659.00,294820
30860.00,294830
36860.00,294900
81458.00,295103
21524.00,296210
19941.00,296220
83092.00,296300
88773.00,296401
78083.00,296402
38859.00,296500
35865.00,296600
42031.00,296901
36604.00,296902
65422.00,297000
30065.00,297110
38090.00,297120
43891.00,297201
57195.00,297202
76806.00,297300
98214.00,297400
77454.00,297500
68491.00,297601
72179.00,297602
101250.00,300100
81917.00,300200
105817.00,300301
87684.00,300400
68487.00,300501
67390.00,300502
67816.00,300600
123311.00,300701
153214.00,300702
76181.00,300800
100875.00,300901
108088.00,300902
59973.00,301000
63882.00,301100
68061.00,301203
57750.00,301204
106364.00,301205
50659.00,301206
116477.00,301300
98527.00,301400
73659.00,301501
43822.00,301502
43066.00,301601
55202.00,301602
63304.00,301701
48456.00,301702
46771.00,301801
31274.00,301802
51707.00,301900
41636.00,302002
47704.00,302003
45521.00,302004
47089.00,302102
37346.00,302103
45428.00,302104
18875.00,302201
36429.00,302202
44913.00,302301
40644.00,302302
30946.00,302401
28119.00,302503
30000.00,302504
28400.00,302505
57389.00,302506
104190.00,310100
70313.00,310201
64798.00,310202
80242.00,310300
76071.00,310400
44900.00,310501
54259.00,310601
72301.00,310602
37361.00,310701
38009.00,310702
48798.00,310703
52778.00,310800
80787.00,310900
70658.00,311000
64435.00,311100
71135.00,311200
76373.00,311300
66417.00,311400
66511.00,311500
68484.00,311600
74539.00,311700
62500.00,311801
43560.00,311802
-,320000
58798.00,320100
40184.00,320201
54748.00,320202
44583.00,320300
130417.00,400204
185139.00,400205
131106.00,400206
102244.00,400207
73224.00,400302
70152.00,400304
89088.00,400402
96152.00,400403
108229.00,400404
136786.00,400501
52308.00,400602
70500.00,400603
63007.00,400604
53696.00,400800
70203.00,400900
107461.00,401001
65536.00,401002
58698.00,401101
61125.00,401102
83141.00,401201
83551.00,401202
75324.00,401203
92887.00,401303
79052.00,401304
64774.00,401311
69000.00,401312
54844.00,401500
67118.00,401601
67581.00,401602
58077.00,401603
66944.00,401701
55602.00,401703
48106.00,401704
81960.00,401800
72672.00,401901
67917.00,401902
35927.00,402001
70938.00,402002
61509.00,402101
47944.00,402102
61649.00,402200
51781.00,402301
46058.00,402303
29537.00,402304
53012.00,402402
51339.00,402403
106908.00,402404
51308.00,402405
51250.00,402406
37457.00,402501
41791.00,402502
45941.00,402600
33186.00,402702
56014.00,402703
70394.00,402705
60486.00,402706
40512.00,402801
38571.00,402803
39764.00,402804
46005.00,402902
49141.00,402903
55486.00,402904
53371.00,403000
-,403200
69083.00,403303
97727.00,403304
82697.00,403305
64762.00,403312
90335.00,403316
107045.00,403317
78517.00,403318
73683.00,403319
105882.00,403320
95826.00,403321
80380.00,403322
83679.00,403323
101754.00,403324
82692.00,403325
80556.00,403401
87420.00,403402
120761.00,403403
115864.00,403404
121106.00,403405
64792.00,403406
149861.00,403407
95823.00,403408
76012.00,403500
84519.00,403600
92959.00,403702
92938.00,403703
63163.00,403721
50533.00,403722
62738.00,403801
64453.00,403802
73667.00,403901
54438.00,403902
66022.00,404000
67500.00,404100
45903.00,404201
48575.00,404202
35656.00,404301
54965.00,404302
58929.00,404401
73000.00,404402
45811.00,404501
57823.00,404503
41769.00,404504
59028.00,404600
57763.00,404701
46250.00,404702
67987.00,404703
34583.00,404801
49861.00,404802
59423.00,404803
49403.00,404901
62143.00,404902
49271.00,404903
53900.00,405001
68750.00,405002
56359.00,405101
36431.00,405102
47500.00,405201
50960.00,405202
58750.00,405203
47454.00,405301
89333.00,405302
68850.00,405400
65625.00,405500
62074.00,405600
53315.00,405701
66558.00,405702
72950.00,405800
76563.00,405900
75811.00,406000
56023.00,406101
48922.00,406102
35609.00,406200
76667.00,406300
108583.00,406402
69635.00,406411
98750.00,406412
65820.00,406500
93639.00,406601
77500.00,406602
59738.00,406701
53600.00,406702
87829.00,406800
48516.00,406901
62583.00,406902
52391.00,407001
73451.00,407002
52287.00,407101
50357.00,407102
55368.00,407200
55329.00,407301
67500.00,407302
92917.00,407400
62108.00,407501
48191.00,407502
46250.00,407601
55081.00,407602
42425.00,407701
60439.00,407702
67768.00,407801
75968.00,407802
70528.00,407900
64958.00,408003
71792.00,408004
84242.00,408005
57250.00,408006
54457.00,408133
86477.00,408134
79474.00,408135
75128.00,408136
56783.00,408137
43784.00,408138
55640.00,408139
54063.00,408140
52344.00,408141
47396.00,408202
52519.00,408211
59539.00,408212
56223.00,408301
79167.00,408302
77632.00,408303
49612.00,408401
73229.00,408402
57971.00,408501
91544.00,408503
74390.00,408504
82917.00,408505
54496.00,408623
80091.00,408624
106537.00,408625
73611.00,408626
102500.00,408627
67292.00,408628
56477.00,408629
41444.00,408630
61985.00,408631
110133.00,408703
55469.00,408704
73092.00,408705
72857.00,408706
81100.00,408722
53438.00,408723
33878.00,408724
25583.00,408800
55357.00,430002
100781.00,430003
48551.00,430101
58011.00,430102
124167.00,430200
88125.00,430301
91168.00,430302
127010.00,430400
105221.00,430501
79327.00,430502
149432.00,430600
98693.00,430701
64223.00,430721
53561.00,430723
55052.00,430724
63889.00,430801
86146.00,430802
87828.00,430803
63708.00,430901
67926.00,430902
61096.00,431001
71574.00,431002
45202.00,431100
57917.00,431200
76293.00,431300
76364.00,431400
79634.00,431501
70788.00,431502
86683.00,431600
73494.00,431700
64044.00,431800
59457.00,431900
66116.00,432000
85682.00,432101
77450.00,432102
46098.00,432201
49979.00,432202
59712.00,432300
42738.00,432401
33409.00,432402
54272.00,432500
53706.00,432601
50150.00,432602
48489.00,432700
29740.00,432801
37092.00,432802
61094.00,432901
65301.00,432902
55573.00,433101
30341.00,433102
47500.00,433200
43516.00,433302
43896.00,433304
31184.00,433305
43125.00,433306
63700.00,433307
39415.00,433401
38173.00,433402
36223.00,433403
35382.00,433501
54850.00,433503
36793.00,433504
51587.00,433601
39688.00,433602
60848.00,433700
37057.00,433801
66364.00,433802
33323.00,433901
38472.00,433902
47599.00,434001
43796.00,434003
59787.00,434004
100692.00,460000
101836.00,460100
86964.00,460200
93706.00,460301
68585.00,460302
85040.00,460401
130037.00,460501
141042.00,460502
125625.00,460600
193464.00,460700
184904.00,460800
51182.00,460900
54735.00,461000
68512.00,461100
120750.00,461200
73063.00,461300
53464.00,461400
66680.00,461501
47667.00,461502
39146.00,461600
111875.00,461700
36265.00,461901
30352.00,461902
42943.00,462001
39688.00,462002
41447.00,462100
33413.00,462201
54236.00,462202
45758.00,462301
62027.00,462302
70827.00,462400
85426.00,462500
117546.00,462600
53828.00,462700
61818.00,462800
77083.00,462900
94722.00,463000
65089.00,463101
71000.00,463102
71204.00,463200
79643.00,463300
77453.00,463400
61322.00,463500
65880.00,463601
71175.00,463602
133750.00,463700
125625.00,463800
100063.00,463900
89574.00,464000
171786.00,464100
131792.00,464200
120063.00,480002
55093.00,480011
54651.00,480012
59545.00,480101
85086.00,480102
103949.00,480201
111500.00,480202
53816.00,480302
46118.00,480303
32374.00,480304
68438.00,480400
101645.00,480500
76859.00,480600
86923.00,480702
102212.00,480703
69266.00,480704
51453.00,480802
62949.00,480803
58212.00,480804
46426.00,480901
46532.00,480902
63750.00,480903
35429.00,481001
50500.00,481002
55129.00,481101
52286.00,481102
56729.00,481103
48618.00,481201
60923.00,481202
54453.00,481300
45481.00,481401
58423.00,481402
56400.00,481500
42867.00,481603
44420.00,481604
52768.00,481605
34982.00,481606
30026.00,481711
35102.00,481712
40917.00,481713
24712.00,481714
75972.00,481800
77642.00,481901
56759.00,481902
79107.00,482001
66179.00,482002
56906.00,482101
62609.00,482102
52216.00,482201
57051.00,482202
42138.00,482301
45000.00,482303
36071.00,482304
49671.00,482401
50210.00,482402
36452.00,482502
37722.00,482503
54234.00,482521
68291.00,482522
62308.00,482600
54696.00,482701
61417.00,482702
70106.00,482800
114423.00,500100
116618.00,500201
122500.00,500202
89676.00,500300
34500.00,500402
60282.00,500403
75000.00,500404
46369.00,500500
54048.00,500600
65069.00,500700
59960.00,500800
44408.00,500900
44083.00,501001
73073.00,501002
67130.00,501200
66235.00,501300
47464.00,501400
78315.00,501501
49407.00,501503
34422.00,501504
79050.00,501600
81065.00,501700
61642.00,501802
34452.00,501803
44926.00,501804
77292.00,501900
57228.00,502003
64167.00,502004
67646.00,502005
50625.00,502100
59826.00,502200
52604.00,502301
40785.00,502302
56776.00,502401
53250.00,502402
50331.00,502500
78487.00,502601
50110.00,502602
52702.00,502700
72917.00,502801
26557.00,502802
80167.00,502901
52295.00,502902
58598.00,503000
69891.00,503103
51827.00,503104
57639.00,503105
59980.00,503106
86905.00,503201
63646.00,503202
75529.00,503301
54861.00,503302
74531.00,503401
72586.00,503402
67988.00,503501
81267.00,503502
76583.00,503601
102476.00,503602
63813.00,503701
89205.00,503702
81123.00,503703
78226.00,503801
86392.00,503802
86125.00,503901
82222.00,503902
75329.00,504001
66806.00,504002
57125.00,504101
-,504102
88021.00,530003
58450.00,530004
85000.00,530005
60609.00,530006
40781.00,530101
35707.00,530102
45292.00,530202
43716.00,530203
54233.00,530204
43750.00,530301
41585.00,530302
28380.00,530400
38000.00,530500
58274.00,530601
37700.00,530602
52250.00,530700
35303.00,530801
50093.00,530802
36150.00,530901
27246.00,530902
43466.00,531000
42789.00,531101
33990.00,531102
38356.00,531201
34385.00,531202
38139.00,531301
33987.00,531302
38056.00,531502
38480.00,531503
39696.00,531504
32252.00,531602
34973.00,531603
32825.00,531604
44091.00,531701
34592.00,531702
38861.00,531800
35671.00,531901
36250.00,531902
38694.00,532001
49423.00,532002
38463.00,532101
50893.00,532102
41733.00,532200
50556.00,532302
48828.00,532303
51912.00,532304
38625.00,532400
41875.00,532500
29659.00,532603
34286.00,532604
26550.00,532605
30276.00,532606
37778.00,532700
24905.00,532800
28711.00,532900
30431.00,533001
40357.00,533002
30809.00,533103
22840.00,533104
36563.00,533105
44023.00,533106
35859.00,533107
40343.00,533201
48176.00,533202
39479.00,533203
41993.00,533300
51226.00,533401
34531.00,533402
34929.00,533403
43639.00,533501
41573.00,533502
41000.00,533503
41543.00,533601
37661.00,533602
35337.00,533603
35075.00,533701
38039.00,533702
39184.00,533703
39055.00,533803
39439.00,533804
48516.00,533805
31094.00,533806
42452.00,533901
35601.00,533902
39032.00,534001
38924.00,534002
36919.00,534101
41993.00,534102
30976.00,534201
41268.00,534202
37813.00,534203
37778.00,534301
40602.00,534302
48010.00,534403
44006.00,534404
40164.00,534405
45482.00,534406
49728.00,534501
47261.00,534502
43585.00,534700
48065.00,534802
40496.00,534803
30655.00,534804
43068.00,534900
30710.00,535001
42500.00,535002
35221.00,535101
34500.00,535102
49105.00,535200
38147.00,535300
40430.00,535400
37069.00,535501
46500.00,535502
30435.00,535503
26854.00,535603
39225.00,535604
32727.00,535605
32875.00,535606
44399.00,535607
43553.00,535701
34873.00,535702
44329.00,535802
42386.00,535803
39901.00,535804
46653.00,535901
56389.00,535902
39236.00,536000
66715.00,536102
46667.00,536103
56476.00,536104
58487.00,536200
39485.00,540000
45458.00,540101
52005.00,540102
32318.00,540201
35833.00,540202
41083.00,540203
50474.00,540300
35417.00,540400
43882.00,540501
30324.00,540502
31366.00,540600
36814.00,540700
33000.00,540800
41904.00,540901
45672.00,540902
53929.00,541001
47000.00,541002
51458.00,541100
60015.00,541200
52500.00,541300
30417.00,541400
40202.00,541500
40938.00,541603
35603.00,541604
39158.00,541605
35139.00,541606
53411.00,541700
50133.00,541801
48931.00,541802
48654.00,542000
40313.00,542103
45313.00,542104
45330.00,542105
50819.00,542106
47309.00,542200
39648.00,542401
46741.00,542402
46063.00,542501
30231.00,542502
42014.00,542601
33229.00,542602
37363.00,542700
53803.00,542800
39479.00,542900
45816.00,543000
48542.00,543100
48026.00,543201
47424.00,543202
85442.00,543304
56463.00,543305
72372.00,543306
74038.00,543321
86893.00,543322
64913.00,543400
57305.00,543501
68010.00,543502
64348.00,543503
64722.00,543601
65268.00,543602
63958.00,543603
85313.00,543604
74069.00,543701
72360.00,543702
76838.00,543703
66782.00,543801
60486.00,543802
66691.00,543903
56404.00,543905
52077.00,544001
74213.00,544002
88875.00,550000
60905.00,550100
51375.00,550201
79312.00,550202
71611.00,550300
98488.00,550400
62723.00,550500
58045.00,550601
103500.00,550602
78724.00,550700
65667.00,550800
51801.00,550901
50762.00,550902
84194.00,551000
46225.00,551101
40427.00,551102
62500.00,551201
62677.00,551202
45438.00,551300
47237.00,551401
71402.00,551402
54015.00,551501
58125.00,551502
-,551600
51696.00,551700
