Income,Census Tract
"29,536",221500
"46,645",221601
"41,125",221602
"43,938",221710
"26,694",221810
"13,630",221820
"17,768",221900
"79,082",222001
"51,084",222002
"61,563",222100
"47,955",222200
"57,969",222500
"34,493",222600
-,222700
"36,604",224010
"32,713",224020
"36,071",224200
"42,417",224310
"16,471",224320
"29,894",224410
"23,210",224420
"46,607",224600
"32,500",224701
"9,722",224702
"34,444",226001
"37,147",226002
"38,438",226410
"43,464",226420
"65,192",226701
"42,217",226702
"44,277",227010
"55,917",227020
"55,335",228100
"36,214",228210
"45,875",228220
"44,115",228310
"43,770",228320
"42,337",228410
"43,661",228420
"36,842",228500
"53,864",228600
"33,704",228710
"49,875",228720
"40,955",228800
"27,917",228900
"53,958",229100
"54,481",229200
"43,176",229300
"47,406",229410
"45,856",229420
"31,271",231100
"32,454",231210
"29,461",231220
"47,310",231301
"68,281",231302
"57,717",231400
"52,946",231500
"66,081",231601
"46,683",231602
"35,048",231603
"32,301",231710
"45,833",231720
"35,321",231800
"35,417",231901
"40,125",231902
"36,423",232110
"44,110",232120
"60,076",232200
"63,681",232300
"49,318",232401
"50,692",232402
"49,293",232500
"43,958",232601
"35,052",232602
"53,036",232701
"35,114",232702
"38,897",232800
"85,757",234001
"41,462",234002
"85,429",234200
"65,690",234301
"40,857",234302
"61,667",234501
"45,726",234502
"59,569",234600
"46,125",234700
"61,278",234800
"33,699",234901
"24,253",234902
"86,700",235100
"68,828",235201
"32,083",235202
"95,400",236001
"24,773",236101
"48,796",236102
"29,676",236203
"32,372",236204
"23,882",236205
"42,831",236206
"90,102",236400
"38,750",237101
"37,500",237102
"53,294",237201
"41,792",237202
"57,974",237300
"54,178",237401
"67,863",237402
"31,311",237500
"41,076",237600
"39,288",237710
"35,488",237720
"49,455",237800
"51,404",237900
"65,313",238000
"49,847",238100
"38,557",238200
"33,317",238310
"34,628",238320
"68,212",238400
"36,687",239201
"42,332",239202
"41,121",239310
"48,716",239320
"40,293",239330
"49,085",239501
"42,621",239502
"49,286",239601
"37,500",239602
"33,775",239701
"35,809",239702
"51,833",239801
"48,674",239802
"33,144",240010
"50,521",240020
"45,579",240200
"17,096",240301
"55,604",240302
"38,536",240401
"40,903",240402
"37,157",240500
"50,667",240600
"44,587",240700
"41,768",240800
"52,969",240901
"39,375",240902
"47,907",241001
"60,962",241002
"57,766",241110
"25,490",241120
"50,750",241201
"41,458",241202
"50,417",241300
"49,375",241400
"32,857",242000
"21,992",242100
"33,750",242201
"25,141",242202
"31,875",242300
"16,662",242600
"41,731",242700
"66,406",243001
"56,809",243002
"27,353",243100
"164,219",261102
"202,266",261103
"217,396",261104
"178,750",261200
"250,000+",262100
"173,472",262200
"231,188",262301
"200,781",262302
"250,000+",262303
"250,000+",262400
"246,750",262501
"201,094",262601
"187,500",262604
"126,528",262704
"158,625",262706
"182,042",262802
"196,250",264000
"107,228",264102
"126,538",264103
"116,414",264303
"97,078",264304
"85,493",264305
"94,313",264306
"103,750",265100
"117,798",265201
"56,656",265203
"108,295",265204
-,265301
"29,375",265303
"20,343",265304
"15,417",265306
"16,772",265307
"105,625",265410
"200,179",265420
"51,014",265521
"77,348",265522
"63,594",265523
"98,906",265524
"89,844",265601
"104,375",265602
"95,357",265701
"91,731",265702
"107,664",267101
"106,742",267102
"97,321",267201
"106,016",267202
"79,919",267300
"93,367",267403
"93,333",267404
"99,692",267405
"97,704",267406
"84,315",267502
"131,250",267503
"111,383",267504
"65,531",267600
"118,333",267700
"89,246",267800
"111,299",267901
"126,063",267902
"146,118",269000
"115,452",269100
"193,750",269300
"204,583",269500
"61,044",269601
"54,875",269602
"88,214",269700
"96,964",269800
"70,583",269903
"89,194",269905
"100,682",269906
"86,821",269907
"71,808",269908
"77,074",269909
"83,667",270101
"79,583",270102
"68,651",270200
"59,327",270300
"104,821",271100
"88,889",271200
"103,911",271300
"135,590",271400
"98,452",271500
"95,615",271600
"70,504",271702
"99,339",271703
"133,270",271704
"54,259",271801
"83,226",271803
"71,764",271804
"96,699",271901
"74,186",271902
"96,806",272100
"75,846",272201
"61,786",272202
"98,495",272301
"64,408",272302
"140,987",273100
"100,100",273200
"76,285",273300
-,273403
"72,101",273404
"91,396",273502
"135,204",273600
"111,036",273700
"83,821",273800
"138,750",273902
"128,125",274100
"155,366",274202
"108,750",275101
"70,872",275102
"70,689",275200
"84,337",275311
"100,667",275312
"82,862",275313
"137,639",275400
"43,393",275500
"90,000",275603
"173,569",275604
"95,192",275605
"140,446",276000
"91,770",276101
"48,905",276102
"175,625",276400
"101,071",276500
"131,905",276601
"79,750",276605
"77,143",276606
"87,273",276607
"98,000",276608
"140,985",277000
"154,063",277100
"50,109",277200
"34,318",277400
"111,274",278001
"153,654",278102
"62,222",291110
"68,333",291120
"73,242",291130
"48,277",291210
"60,948",291220
"88,690",291300
"40,957",292001
"110,040",292002
"66,615",293203
"72,554",293204
"44,369",293205
"59,766",293206
"87,390",293301
"90,255",293302
"68,306",293304
"101,500",293306
"49,604",293307
"43,724",294110
"39,984",294120
"72,904",294200
"80,382",294301
"54,595",294302
"47,027",294410
"46,168",294421
"56,324",294510
"50,357",294520
"51,036",294610
"49,880",294620
"36,014",294701
"50,438",294810
"37,222",294820
"51,554",294830
"37,974",294900
"120,769",295103
"40,282",296210
"33,232",296220
"85,750",296300
"85,733",296401
"124,500",296402
"37,311",296500
"40,991",296600
"48,750",296901
"52,217",296902
"195,064",297001
"102,658",297002
"42,679",297110
"52,000",297120
"59,189",297201
"74,567",297202
"128,068",297300
"70,729",297400
"120,577",297501
"80,109",297502
"59,047",297601
"78,276",297602
"140,665",300100
"106,490",300200
"112,424",300301
"93,077",300400
"104,926",300501
"63,669",300503
"83,053",300601
"88,403",300602
"131,058",300701
"123,445",300702
"82,016",300800
"155,882",300901
"154,185",300902
"95,956",301000
"72,358",301100
"66,493",301203
"58,821",301204
"102,750",301205
"59,110",301206
"121,542",301300
"128,889",301400
"100,833",301501
"48,315",301502
"40,154",301601
"70,677",301602
"80,032",301701
"54,600",301702
"55,038",301801
"68,875",301802
"81,362",301901
"63,088",301902
"45,565",302002
"52,313",302003
"57,500",302004
"85,729",302102
"51,000",302103
"56,500",302104
"26,317",302201
"40,134",302202
"65,750",302301
"51,805",302302
"61,708",302401
"39,838",302503
"41,103",302504
"43,024",302505
"60,131",302506
"133,937",310100
"96,696",310201
"75,550",310202
"110,729",310300
"98,558",310400
"62,957",310501
"72,029",310601
"95,729",310602
"21,117",310701
"55,625",310703
"52,769",310704
"38,125",310705
"65,033",310800
"80,150",310900
"93,864",311000
"89,545",311100
"77,599",311200
"108,385",311300
"113,088",311400
"103,750",311500
"86,750",311601
"65,902",311602
"105,394",311700
"62,337",311801
"82,151",311802
"77,225",320101
"73,750",320102
"36,993",320201
"69,867",320202
"57,955",320300
"207,270",400205
"144,803",400206
"156,250",400207
"124,722",400208
"108,932",400209
"85,119",400304
"103,063",400402
"112,622",400403
"138,257",400404
"172,250",400501
"71,354",400602
"87,768",400603
"79,464",400605
"102,250",400801
"112,281",401001
"73,194",401002
"69,009",401101
"91,483",401102
"116,176",401201
"91,563",401202
"89,172",401203
"152,917",401303
"130,841",401304
"84,268",401311
"69,049",401312
"84,146",401500
"87,500",401601
"65,591",401602
"129,107",401705
"62,829",401706
"51,141",401707
"132,950",401801
"109,450",401802
"82,813",401901
"87,608",401902
"85,441",402001
"55,648",402002
"80,417",402101
"79,097",402102
"81,558",402200
"71,190",402301
"52,036",402303
"45,345",402304
"72,215",402403
-,402404
"53,393",402405
"49,157",402406
"45,557",402501
"57,227",402503
"39,091",402504
"47,621",402601
"57,198",402602
"38,295",402702
"73,826",402703
"78,667",402705
"73,784",402706
"45,756",402801
"52,857",402803
"51,903",402804
"64,511",402902
"56,976",402903
"63,929",402904
"63,505",403000
"115,926",403305
"82,383",403316
"102,150",403317
"87,121",403318
"90,053",403319
"126,328",403320
"109,924",403321
"83,125",403323
"106,146",403324
"127,778",403325
"74,886",403326
"101,705",403327
"89,318",403328
"103,750",403401
"87,311",403402
"129,569",403403
"98,173",403404
"145,000",403407
"102,381",403408
"102,679",403409
"101,250",403500
"94,333",403601
"113,021",403702
"102,344",403703
"64,375",403721
"58,995",403722
"73,589",403801
"68,750",403802
"81,172",403901
"92,083",403902
"88,681",404000
"59,750",404100
"59,630",404201
"68,029",404203
"48,772",404301
"74,063",404302
"73,125",404401
"65,769",404402
"56,893",404501
"77,721",404503
"58,446",404504
"86,250",404600
"76,319",404701
"67,462",404702
"61,925",404703
"67,155",404804
"49,787",404805
"68,182",404806
"72,384",404901
"83,108",404902
"64,766",404903
"74,653",405001
"63,625",405002
"69,867",405101
"47,500",405102
"63,675",405201
"66,875",405202
"76,776",405203
"70,476",405301
"66,458",405302
"93,286",405400
"65,500",405500
"85,368",405600
